epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,224.678,1.1825,1.75706,1.66007,0.91345,0.68603,0.89577,0.51229,1.15117,2.72424,2.24406,0.000651515,0.000651515,0.000651515
2,1396.4,1.21471,1.37306,1.66238,0.6938,0.615,0.65692,0.34975,1.73511,2.58762,2.95923,0.00129208,0.00129208,0.00129208
3,1983.54,1.24752,1.2613,1.68748,0.28517,0.34,0.27406,0.10538,2.5938,3.70702,3.46872,0.00190625,0.00190625,0.00190625
4,2195.47,1.25797,1.1513,1.68045,0.87271,0.82,0.88719,0.52666,1.34236,1.85216,2.52051,0.0018812,0.0018812,0.0018812
5,2723.59,1.2237,1.06646,1.66009,0.77344,0.765,0.82641,0.46052,1.49994,1.42964,2.48211,0.0018416,0.0018416,0.0018416
6,2919.87,1.22901,1.0786,1.66445,0.89802,0.83659,0.92001,0.56579,1.29586,1.37242,2.26947,0.001802,0.001802,0.001802
7,3114.76,1.18153,0.97146,1.63276,0.86661,0.9,0.92909,0.44998,1.79532,1.49995,2.72956,0.0017624,0.0017624,0.0017624
8,3310.31,1.18065,0.97861,1.60763,0.9282,0.97,0.96302,0.65897,1.19799,0.92834,2.14482,0.0017228,0.0017228,0.0017228
9,3508.6,1.1199,0.83529,1.56424,0.94779,0.90763,0.94627,0.60024,1.22859,0.91064,2.22025,0.0016832,0.0016832,0.0016832
10,3709.67,1.1454,0.86522,1.57673,0.98327,0.945,0.97462,0.66722,1.14672,0.75945,1.95379,0.0016436,0.0016436,0.0016436
11,3908.88,1.12929,0.87715,1.56791,0.79217,0.74328,0.72473,0.28795,2.15549,1.32942,3.59921,0.001604,0.001604,0.001604
12,4106.55,1.13011,0.80287,1.56024,0.96848,0.92169,0.9507,0.64502,1.21991,0.70399,2.08913,0.0015644,0.0015644,0.0015644
13,4303.96,1.10273,0.813,1.54531,0.88683,0.89,0.95412,0.60164,1.26413,0.8651,2.05071,0.0015248,0.0015248,0.0015248
14,4506.17,1.05861,0.76138,1.5005,0.97549,0.955,0.98286,0.70259,1.05199,0.57526,1.88583,0.0014852,0.0014852,0.0014852
15,4704.82,1.0369,0.74854,1.48503,0.96018,0.96458,0.97371,0.70933,1.03018,0.60459,1.8618,0.0014456,0.0014456,0.0014456
16,4914.55,1.01676,0.7225,1.46978,0.95124,0.99,0.98425,0.72883,0.97234,0.50877,1.80533,0.001406,0.001406,0.001406
17,5128.61,1.04013,0.74341,1.48163,0.98784,0.955,0.97791,0.67755,1.12281,0.55132,1.96393,0.0013664,0.0013664,0.0013664
18,5340.32,1.05623,0.74425,1.49995,0.89033,0.895,0.91197,0.58938,1.22295,0.76465,2.11476,0.0013268,0.0013268,0.0013268
19,5554.11,0.99925,0.70301,1.44941,0.96452,0.98,0.98389,0.70799,1.06267,0.51384,1.8566,0.0012872,0.0012872,0.0012872
20,5755.83,1.00342,0.72259,1.46851,0.86915,0.8635,0.94726,0.64638,1.12165,0.83153,1.8631,0.0012476,0.0012476,0.0012476
21,5953.98,1.04976,0.71551,1.50089,0.97532,0.98,0.98972,0.71695,1.04332,0.5474,1.83655,0.001208,0.001208,0.001208
22,6150.68,1.0071,0.67857,1.4569,0.99296,0.99,0.99076,0.72913,1.00307,0.46273,1.80925,0.0011684,0.0011684,0.0011684
23,6350.48,0.99087,0.65964,1.46385,0.98469,0.96448,0.97637,0.72472,0.9903,0.48719,1.75961,0.0011288,0.0011288,0.0011288
24,6558.07,1.00182,0.65354,1.46452,0.96596,0.99328,0.99298,0.70414,1.08355,0.54805,1.82788,0.0010892,0.0010892,0.0010892
25,6751.81,0.97069,0.63509,1.44364,0.986,0.975,0.99208,0.71657,1.04001,0.50195,1.77955,0.0010496,0.0010496,0.0010496
26,6944.85,0.96477,0.64896,1.41441,0.96132,0.99409,0.99307,0.72012,1.02046,0.48333,1.78126,0.00101,0.00101,0.00101
27,7128.91,0.94462,0.62013,1.41064,0.97798,0.995,0.9946,0.73239,0.99146,0.45733,1.72846,0.0009704,0.0009704,0.0009704
28,7308.65,0.92332,0.62631,1.39188,0.97939,0.97,0.98805,0.70938,1.01328,0.51281,1.76459,0.0009308,0.0009308,0.0009308
29,7546.77,0.93229,0.63056,1.40711,0.99004,0.99369,0.99383,0.75135,0.92515,0.46945,1.69465,0.0008912,0.0008912,0.0008912
30,7723.08,0.92528,0.61046,1.39591,0.97533,0.98856,0.9852,0.74721,0.94622,0.45592,1.69148,0.0008516,0.0008516,0.0008516
31,8040.19,0.93297,0.62876,1.41265,0.98837,0.995,0.9945,0.75103,0.95099,0.47524,1.66897,0.000812,0.000812,0.000812
32,8209.15,0.90529,0.61665,1.392,0.98941,0.985,0.99336,0.75053,0.89342,0.43519,1.61078,0.0007724,0.0007724,0.0007724
33,8380.3,0.88544,0.56805,1.37671,0.98507,0.9895,0.99321,0.76343,0.93105,0.43041,1.62526,0.0007328,0.0007328,0.0007328
34,8796.92,0.90883,0.57678,1.3994,0.98506,0.98873,0.9947,0.7311,0.99015,0.46541,1.70146,0.0006932,0.0006932,0.0006932
35,8965.45,0.89421,0.57557,1.37409,0.99495,0.98452,0.99466,0.74655,0.95674,0.42433,1.70595,0.0006536,0.0006536,0.0006536
36,9861.2,0.90191,0.56197,1.37709,0.99387,0.975,0.98574,0.75938,0.90489,0.41312,1.622,0.000614,0.000614,0.000614
37,10020.5,0.8916,0.55423,1.37368,0.97946,0.97,0.98435,0.72905,1.04831,0.46838,1.76512,0.0005744,0.0005744,0.0005744
38,10379.9,0.88345,0.5848,1.3586,0.98027,0.99347,0.99321,0.77119,0.92903,0.40973,1.65292,0.0005348,0.0005348,0.0005348
39,10549.3,0.87758,0.54829,1.34804,0.9835,0.995,0.9945,0.7517,0.94814,0.41803,1.65893,0.0004952,0.0004952,0.0004952
40,10722.1,0.85927,0.54044,1.34628,0.97535,0.995,0.9944,0.75267,0.93302,0.42615,1.62969,0.0004556,0.0004556,0.0004556
41,12779.2,0.70806,0.42069,1.3764,0.9875,0.995,0.99465,0.7686,0.89339,0.41125,1.58422,0.000416,0.000416,0.000416
42,12951.8,0.68331,0.37637,1.35994,0.9934,0.99,0.99465,0.75786,0.91423,0.40279,1.59633,0.0003764,0.0003764,0.0003764
43,13131.8,0.67041,0.36779,1.34386,1,0.9932,0.995,0.76919,0.9163,0.41346,1.62311,0.0003368,0.0003368,0.0003368
44,13317.1,0.67787,0.36444,1.37128,0.99377,0.995,0.99445,0.77696,0.90205,0.38762,1.60734,0.0002972,0.0002972,0.0002972
45,13501.7,0.64855,0.35659,1.32474,0.98889,0.995,0.99429,0.77925,0.8921,0.37442,1.58972,0.0002576,0.0002576,0.0002576
46,13688.3,0.62548,0.34236,1.3193,0.9844,0.995,0.99367,0.78055,0.84727,0.37112,1.55767,0.000218,0.000218,0.000218
47,13878.7,0.64844,0.34115,1.31936,0.995,0.99452,0.9939,0.7873,0.84413,0.36922,1.55359,0.0001784,0.0001784,0.0001784
48,14270.6,0.61063,0.32215,1.29141,0.99497,0.98971,0.99426,0.78245,0.85262,0.37152,1.54701,0.0001388,0.0001388,0.0001388
49,14447.5,0.60101,0.31683,1.29013,0.99416,0.99,0.99455,0.77894,0.86499,0.36934,1.5542,9.92e-05,9.92e-05,9.92e-05
50,15106.4,0.60004,0.31726,1.29389,0.99411,0.99,0.99436,0.77765,0.85693,0.36852,1.54345,5.96e-05,5.96e-05,5.96e-05
